Iteration,DeepLab v3+,FCN16s,GoogLeNet
65,0.280252288,0.174812758,0.22420183
66,0.282722333,0.106801724,0.226177866
67,0.286561236,0.096994166,0.229248988
68,0.284883159,0.116924495,0.227906527
69,0.284619654,0.107746866,0.227695723
70,0.291231145,0.111917062,0.232984916
71,0.288456792,0.110500924,0.230765434
72,0.289155099,0.137688298,0.231324079
73,0.287049614,0.111194442,0.229639691
74,0.28796241,0.11842483,0.230369928
75,0.286704812,0.17087351,0.229363849
76,0.28714995,0.138882093,0.22971996
77,0.287048808,0.122178264,0.229639046
78,0.286134371,0.10469694,0.228907497
79,0.285388893,0.127997564,0.228311115
80,0.287877152,0.15563403,0.230301721
81,0.28491143,0.146050872,0.227929144
82,0.284730092,0.116893565,0.227784074
83,0.283627055,0.128754021,0.226901644
84,0.286834439,0.137632758,0.229467552
85,0.287957635,0.063301308,0.230366108
86,0.280814482,0.163684089,0.224651586
87,0.284575996,0.122904429,0.227660797
88,0.283492939,0.099374784,0.226794351
89,0.281504889,0.108959605,0.225203911
90,0.280635974,0.100977543,0.224508779
91,0.286658337,0.099814865,0.22932667
92,0.285058491,0.131965009,0.228046793
93,0.286684948,0.089651167,0.229347958
94,0.286389384,0.102358552,0.229111508
95,0.281118345,0.110539937,0.224894676
96,0.278745231,0.121933959,0.222996185
97,0.280786887,0.126840803,0.224629509
98,0.285843636,0.119661129,0.228674909
99,0.286560436,0.123562357,0.229248349
100,0.279577931,0.091652284,0.223662345
101,0.278869924,0.104608058,0.223095939
102,0.282934028,0.097962299,0.226347222
103,0.27901955,0.102911993,0.22321564
104,0.278451016,0.118635261,0.222760813
105,0.275202117,0.107809017,0.220161693
106,0.279917818,0.132455909,0.223934254
107,0.273699314,0.110861013,0.218959451
108,0.270278258,0.157300651,0.216222606
109,0.276878359,0.124305681,0.221502687
110,0.278829891,0.147659446,0.223063912
111,0.276769485,0.118855779,0.221415588
112,0.275053364,0.115541294,0.220042691
113,0.274356395,0.105116244,0.219485116
114,0.276483114,0.121490761,0.221186491
115,0.279939567,0.118990084,0.223951653
116,0.280910582,0.152718792,0.224728466
117,0.275089476,0.124541947,0.22007158
118,0.283784597,0.125180552,0.227027678
119,0.277178856,0.138967617,0.221743084
120,0.275998496,0.095799093,0.220798797
121,0.293292613,0.135742565,0.234634091
122,0.283184513,0.135012424,0.226547611
123,0.281609782,0.117124869,0.225287826
124,0.28074344,0.123145009,0.224594752
125,0.284736213,0.146899691,0.22778897
126,0.290035064,0.137870432,0.232028052
127,0.286192698,0.153890264,0.228954159
128,0.273184835,0.105267274,0.218547868
129,0.277920546,0.107625219,0.222336437
130,0.276758078,0.087967906,0.221406463
131,0.286971603,0.128166534,0.229577282
132,0.280064967,0.10846327,0.224051974
133,0.2771282,0.104952306,0.22170256
134,0.281997087,0.117137525,0.22559767
135,0.279259946,0.122483551,0.223407957
136,0.287209509,0.13426277,0.229767607
137,0.281441925,0.143330685,0.22515354
138,0.28783282,0.107313608,0.230266256
139,0.283452673,0.120057411,0.226762139
140,0.271256162,0.091906629,0.21700493
141,0.274180059,0.1113911,0.219344047
142,0.274944694,0.101276498,0.219955755
143,0.275845826,0.130143024,0.220676661
144,0.274912335,0.124853059,0.219929868
145,0.279490296,0.130552805,0.223592236
146,0.29043163,0.116502091,0.232345304
147,0.274180017,0.121432861,0.219344014
148,0.271417425,0.144317833,0.21713394
149,0.269143645,0.129767636,0.215314916
150,0.290524359,0.128957297,0.232419487
151,0.280230162,0.116665704,0.22418413
152,0.262095143,0.155895271,0.209676115
153,0.275341301,0.132262431,0.220273041
154,0.266797237,0.14049331,0.213437789
155,0.271570701,0.13180316,0.217256561
156,0.273538687,0.097432928,0.21883095
157,0.267098483,0.139755521,0.213678787
158,0.267852643,0.105757382,0.214282115
159,0.271667645,0.156092628,0.217334116
160,0.275487622,0.164971683,0.220390098
161,0.276291346,0.134618235,0.221033077
162,0.270155696,0.124547478,0.216124557
163,0.276174603,0.126647099,0.220939683
164,0.276589497,0.121483061,0.221271597
165,0.276006151,0.139344621,0.220804921
166,0.276125444,0.119136549,0.220900355
167,0.275514461,0.134546405,0.220411569
168,0.274005992,0.149045464,0.219204793
169,0.273744142,0.109285837,0.218995313
170,0.287809916,0.101740289,0.230247932
171,0.282616179,0.132549227,0.226092943
172,0.275444585,0.130507889,0.220355668
173,0.280221615,0.111691673,0.224177292
174,0.280831874,0.103373423,0.224665499
175,0.276936178,0.102849908,0.221548942
176,0.27716076,0.11661938,0.221728608
177,0.280639208,0.132341967,0.224511367
178,0.274499417,0.117406728,0.219599534
179,0.276595996,0.132993354,0.221276797
180,0.274276144,0.105514571,0.219420915
181,0.275500604,0.140414712,0.220400484
182,0.279295669,0.112045217,0.223436535
183,0.277983814,0.11285339,0.222387051
184,0.276835779,0.080537112,0.221468623
185,0.272867235,0.146163873,0.218293788
186,0.285771712,0.113322064,0.22861737
187,0.27829805,0.081085159,0.22263844
188,0.286451746,0.106568275,0.229161397
189,0.282293284,0.125339011,0.225834627
190,0.27636209,0.137936821,0.221089672
191,0.283235945,0.086250396,0.226588756
192,0.274969311,0.175273135,0.219975449
193,0.288005732,0.126459939,0.230404586
194,0.280439946,0.115427002,0.224351957
195,0.278439163,0.143452659,0.222751331
196,0.283554462,0.138999011,0.226843569
197,0.271587745,0.120695835,0.217270196
198,0.305411206,0.155036148,0.244328965
199,0.28153979,0.149967655,0.225231832
200,0.280956575,0.095230703,0.22476526
201,0.277514087,0.141843846,0.22201127
202,0.28198085,0.123740392,0.22558468
203,0.272282388,0.126854063,0.21782591
204,0.271752579,0.109693152,0.217402063
205,0.285566367,0.137479454,0.228453094
206,0.270957695,0.136552441,0.216766156
207,0.277759683,0.122694992,0.222207747
208,0.28018713,0.153259848,0.224149704
209,0.274447184,0.084637611,0.219557748
210,0.281309602,0.135659939,0.225047681
211,0.280993277,0.140958799,0.224794621
212,0.287479548,0.093331396,0.229983638
213,0.280619609,0.093139731,0.224495687
214,0.284961007,0.116543845,0.227968806
215,0.283201079,0.125654304,0.226560863
216,0.284306726,0.156073715,0.22744538
217,0.28164315,0.124711901,0.22531452
218,0.29099401,0.133733029,0.232795208
219,0.282048535,0.120694388,0.225638828
220,0.290358355,0.174673415,0.232286684
221,0.275481854,0.106549548,0.220385483
222,0.273837392,0.119458214,0.219069914
223,0.270941515,0.119304443,0.216753212
224,0.275514398,0.10080909,0.220411518
225,0.274282168,0.112139385,0.219425734
226,0.279404594,0.107551545,0.223523675
227,0.288091418,0.155333378,0.230473135
228,0.272633437,0.164834282,0.21810675
229,0.276578062,0.120576282,0.221262449
230,0.27251242,0.119652269,0.218009936
231,0.275220151,0.110139534,0.220176121
232,0.284342791,0.149321158,0.227474233
233,0.267868793,0.126417859,0.214295034
234,0.26868438,0.100965661,0.214947504
235,0.273840908,0.110804944,0.219072726
236,0.265305753,0.107862237,0.212244602
237,0.272041676,0.14531509,0.217633341
238,0.26988332,0.111399333,0.215906656
239,0.267472289,0.161253982,0.213977831
240,0.272541649,0.120083467,0.218033319
241,0.279350247,0.138367344,0.223480197
242,0.283503795,0.180861845,0.226803036
243,0.276171319,0.101852297,0.220937055
244,0.281361996,0.149933189,0.225089597
245,0.275999523,0.126777023,0.220799618
246,0.284734296,0.135086668,0.227787437
247,0.2846048,0.145266467,0.22768384
248,0.286867691,0.16705204,0.229494152
249,0.277908844,0.105540704,0.222327075
250,0.279814408,0.127278726,0.223851526
251,0.27689696,0.132028126,0.221517568
252,0.272616592,0.096852978,0.218093274
253,0.279810126,0.14063578,0.2238481
254,0.269559863,0.095122504,0.21564789
255,0.281604309,0.144793059,0.225283447
256,0.284739013,0.100609329,0.22779121
257,0.289681021,0.125146775,0.231744817
258,0.282303481,0.136834499,0.225842784
259,0.285267317,0.12017636,0.228213854
260,0.290847849,0.135959651,0.232678279
261,0.284780396,0.112930271,0.227824317
262,0.290355787,0.092382939,0.23228463
263,0.285271154,0.115337973,0.228216924
264,0.288734823,0.15350038,0.230987859
265,0.289840143,0.131390529,0.231872114
266,0.291664518,0.096719311,0.233331614
267,0.285710087,0.121444273,0.228568069
268,0.283112638,0.136463619,0.226490111
269,0.277858073,0.127486853,0.222286458
270,0.272428953,0.15707893,0.217943162
271,0.281049323,0.139116749,0.224839459
272,0.292483245,0.178534921,0.233986596
273,0.28811933,0.138127168,0.230495464
274,0.276436969,0.124067421,0.221149575
275,0.280785212,0.122218168,0.22462817
276,0.274150106,0.118869787,0.219320085
277,0.283433987,0.139214189,0.226747189
278,0.28492515,0.170258357,0.22794012
279,0.269687257,0.129015357,0.215749806
280,0.272482039,0.19222217,0.217985632
281,0.270359943,0.168192133,0.216287955
282,0.273683755,0.147183576,0.218947004
283,0.270943108,0.15560395,0.216754487
284,0.266034434,0.111413256,0.212827547
285,0.264402428,0.144778171,0.211521942
286,0.264552718,0.097840973,0.211642174
287,0.270694444,0.138187932,0.216555556
288,0.281018695,0.103769124,0.224814956
289,0.275221322,0.099710738,0.220177057
290,0.274028845,0.144570509,0.219223076
291,0.265693979,0.107310913,0.212555183
